Group ID,Population,Species,Copper,Replicate,Day,Alive_Juv,Alive_Adult,Dead_Juv,Dead_Adult,Pj,Pa,F
A,Commercial,BC,low,1,2,6,7,0,2,0.833,0.714,8
A,Commercial,BC,medium,6,2,5,8,0,0,1,1,1.625
A,Commercial,BC,high,4,2,5,7,0,4,1,0.714,2
A,Pollution,BU,low,2,2,1,5,0,0,0,0,0
A,Pollution,BU,high,3,2,1,3,0,2,0,0.667,0.333
A,Postpollution,BC,low,6,2,0,2,0,4,0,0,0
A,Postpollution,BC,medium,2,2,1,3,0,2,1,1,0.6666666667
A,Postpollution,BC,medium,4,2,3,4,1,1,0,0.75,0.75
A,Postpollution,BC,high,2,2,1,2,0,1,0,0.5,0
A,Recovery,BU,low,1,2,2,6,0,0,0.5,0.833,0
A,Recovery,BU,medium,4,2,0,4,0,2,0,0.5,1.25
A,Recovery,BU,high,4,2,5,3,0,1,0.667,1,0.667
B,Commercial,BC,high,3,2,1,8,2,0,1.000,1.000,2.375
B,Pollution,BU,low,1,2,5,4,0,0,1.000,0.500,0.125
B,Pollution,BU,low,3,2,1,6,0,0,1.000,0.660,0.660
B,Pollution,BU,medium,1,2,2,4,0,0,1.000,1.000,1.500
B,Pollution,BU,medium,6,2,0,6,0,0,0.000,0.857,0.000
B,Pollution,BU,high,2,2,2,6,0,0,1.000,1.000,0.660
B,Postpollution,BC,low,2,2,1,2,0,1,1.000,0.500,2.500
B,Postpollution,BC,high,3,2,1,5,0,0,0.000,1.000,1.200
B,Postpollution,BC,high,4,2,0,2,2,0,0.000,0.500,0.000
B,Recovery,BU,low,2,2,3,4,1,0,1.000,0.750,1.250
B,Recovery,BU,medium,2,2,1,2,2,1,0.000,0.500,0.200
B,Recovery,BU,high,6,2,2,4,0,0,1.000,0.750,0.000
C,Commercial,BC,low,3,2,4,4,0,0,1.000,1.000,2.500
C,Commercial,BC,low,4,2,5,6,0,1,1.000,1.000,1.000
C,Commercial,BC,medium,1,2,1,6,1,0,1.000,1.000,1.500
C,Commercial,BC,high,5,2,7,6,0,0,1.000,1.000,3.330
C,Pollution,BU,low,6,2,1,6,0,1,1.000,1.000,2.000
C,Postpollution,BC,low,3,2,1,6,0,1,0.000,0.833,0.500
C,Postpollution,BC,high,6,2,1,2,1,1,1.000,0.000,0.000
C,Recovery,BU,low,3,2,3,4,0,0,0.333,0.750,0.500
C,Recovery,BU,low,5,2,1,4,0,1,1.000,1.000,0.250
C,Recovery,BU,medium,3,2,0,7,0,0,0.000,1.000,0.430
C,Recovery,BU,medium,5,2,1,5,0,1,1.000,0.600,0.000
C,Recovery,BU,high,5,2,1,5,0,1,1.000,1.000,0.000
D,Commercial,BC,medium,3,2,6,4,0,2,0.667,1.000,2.250
D,Commercial,BC,high,2,2,4,7,0,0,0.750,1.000,0.429
D,Pollution,BU,low,4,2,2,7,0,0,0.500,0.857,0.286
D,Pollution,BU,medium,5,2,6,8,0,0,0.167,1.000,1.625
D,Pollution,BU,high,6,2,3,2,0,2,0.333,0.500,1.000
D,Postpollution,BC,low,5,2,0,0,3,3,NA,NA,NA
D,Postpollution,BC,medium,3,2,2,2,3,1,1.000,0.500,4.500
D,Postpollution,BC,high,1,2,2,2,1,1,0.500,1.000,2.000
D,Recovery,BU,low,4,2,3,3,0,0,0.667,1.000,2.333
D,Recovery,BU,low,6,2,2,3,1,0,0.000,1.000,1.000
D,Recovery,BU,medium,6,2,2,3,0,1,0.000,0.667,0.667
D,Recovery,BU,high,2,2,3,3,0,0,0.333,1.000,1.000
E,Commercial,BC,low,2,2,5,4,0,0,0.400,1.000,0.364
E,Commercial,BC,low,5,2,8,4,2,0,1.000,1.000,4.250
E,Commercial,BC,low,6,2,10,4,0,0,0.900,1.000,4.000
E,Commercial,BC,medium,5,2,7,4,0,0,0.857,0.750,4.500
E,Commercial,BC,high,1,2,5,3,2,0,0.600,1.000,2.000
E,Pollution,BU,low,5,2,1,0,3,3,0.000,1.000,2.000
E,Pollution,BU,medium,2,2,4,3,6,0,0.250,0.667,1.333
E,Pollution,BU,medium,3,2,2,4,0,0,0.000,0.750,0.750
E,Pollution,BU,medium,4,2,2,5,0,0,0.500,1.000,2.000
E,Postpollution,BC,low,1,2,1,4,1,0,0.000,1.000,1.000
E,Postpollution,BC,medium,5,2,1,4,1,1,0.000,0.500,0.250
E,Recovery,BU,high,3,2,3,3,0,0,0.333,1.000,1.667
F,Commercial,BC,medium,2,2,7,7,0,0,1.000,1.000,1.430
F,Commercial,BC,medium,4,2,4,5,1,0,1.000,1.000,2.000
F,Commercial,BC,high,6,2,2,3,0,0,1.000,1.000,7.000
F,Pollution,BU,high,1,2,2,7,1,2,1.000,1.000,0.57
F,Pollution,BU,high,4,2,0,3,3,0,NA,1.000,0.000
F,Pollution,BU,high,5,2,0,0,0,1,NA,NA,NA
F,Postpollution,BC,low,4,2,0,1,0,0,NA,NA,NA
F,Postpollution,BC,medium,1,2,0,4,0,1,NA,0.750,0.750
F,Postpollution,BC,medium,6,2,7,4,0,0,0.000,0.000,0.000
F,Postpollution,BC,high,5,2,1,4,1,0,1.000,0.500,0.250
F,Recovery,BU,medium,1,2,0,6,0,0,NA,1.000,1.000
F,Recovery,BU,high,1,2,3,4,1,0,1.000,1.000,0.250
